Textbox70,Textbox69
Location:,12 - CD-CHARLESTON

MenuItemName,Cost1,AvgPrice1,Profit1,Textbox35,TargetMargin1,Textbox43,PriceNeeded1,Location,Cost,AvgPrice,Profit,ProfitPercent,TargetMargin,Variance,PriceNeeded
CD-CHARLESTON - LB RED CRAB CLAWS,52.49,16.45,-36.03,-219.0 %,0.0 %,-219.0 %,52.49,CD-CHARLESTON,52.49,16.45,-36.03,-219.0 %,0.0 %,-219.0 %,52.49
CD-CHARLESTON - SHRIMP AND GRITS,2.85,18.95,16.10,85.0 %,0.0 %,85.0 %,2.85,CD-CHARLESTON,2.85,18.95,16.10,85.0 %,0.0 %,85.0 %,2.85
CD-CHARLESTON - OVEN ROASTED SALMON,2.96,23.95,20.99,87.6 %,0.0 %,87.6 %,2.96,CD-CHARLESTON,2.96,23.95,20.99,87.6 %,0.0 %,87.6 %,2.96
CD-CHARLESTON - CHICKEN STRIPS APP,1.49,10.95,9.46,86.4 %,0.0 %,86.4 %,1.49,CD-CHARLESTON,1.49,10.95,9.46,86.4 %,0.0 %,86.4 %,1.49
CD-CHARLESTON - FRIED FLOUNDER,3.92,19.95,16.03,80.4 %,0.0 %,80.4 %,3.92,CD-CHARLESTON,3.92,19.95,16.03,80.4 %,0.0 %,80.4 %,3.92
CD-CHARLESTON - ADD JACK SLICE,0.19,0.75,0.56,74.4 %,0.0 %,74.4 %,0.19,CD-CHARLESTON,0.19,0.75,0.56,74.4 %,0.0 %,74.4 %,0.19
CD-CHARLESTON - KID SUB LING ALF,0.76,0.00,-0.76,-76.4 %,0.0 %,-76.4 %,0.76,CD-CHARLESTON,0.76,0.00,-0.76,-76.4 %,0.0 %,-76.4 %,0.76
CD-CHARLESTON - A-CROISSANT,0.27,1.20,0.93,77.7 %,0.0 %,77.7 %,0.27,CD-CHARLESTON,0.27,1.20,0.93,77.7 %,0.0 %,77.7 %,0.27
CD-CHARLESTON - XTR HSE-TO GO,0.15,0.50,0.35,69.3 %,0.0 %,69.3 %,0.15,CD-CHARLESTON,0.15,0.50,0.35,69.3 %,0.0 %,69.3 %,0.15
CD-CHARLESTON - MILK,0.38,3.00,2.62,87.5 %,0.0 %,87.5 %,0.38,CD-CHARLESTON,0.38,3.00,2.62,87.5 %,0.0 %,87.5 %,0.38
CD-CHARLESTON - TARTER,0.14,0.00,-0.14,-14.4 %,0.0 %,-14.4 %,0.14,CD-CHARLESTON,0.14,0.00,-0.14,-14.4 %,0.0 %,-14.4 %,0.14
